;Título;Subtítulo;Link
0;'Foto Random': como fazer a colagem que é febre no Instagram e no TikTok;Usuários podem criar uma montagem bem dinâmica, com uma música divertida, em imagens que se sobrepõem automaticamente. Vídeo têm sete segundos de duração. ;https://g1.globo.com/tecnologia/noticia/2022/08/18/como-fazer-o-foto-random-colagem-de-fotos-popular-no-instagram-e-tiktok.ghtml
1;Dona de WhatsApp, Instagram e Facebook diz que 'problema técnico' causou instabilidade desta quinta;Em nota, Meta pediu desculpas e disse que a situação foi resolvida. Plataformas empresa ficaram inacessíveis por volta de 16h e voltaram ao ar cerca de 10 minutos depois.;https://g1.globo.com/tecnologia/noticia/2022/08/18/whatsapp-apresenta-instabilidade-nesta-quinta.ghtml#G1-TECNOLOGIA-FEED-user-sel-1,editorial,71fca2bd-05cf-4b98-a7df-b2657ddf11b8
2;Boom Supersonic e Concorde;;https://g1.globo.com/economia/tecnologia/inovacao/stories/2022/08/18/o-retorno-dos-voos-comerciais-supersonicos.ghtml#G1-TECNOLOGIA-FEED-user-sel-1,editorial,71fca2bd-05cf-4b98-a7df-b2657ddf11b8
3;"Estado de SP tem 1,6 milhão de antenas parabólicas que terão funcionamento afetado com a chegada do 5G; entenda";Equipamentos operam em frequência semelhante à usada pela internet de quinta geração e sofrerão interferência para receber sinal da TV aberta. Veja como fazer a troca.;https://g1.globo.com/sp/campinas-regiao/noticia/2022/08/18/estado-de-sp-tem-16-milhao-de-antenas-parabolicas-que-terao-funcionamento-afetado-com-a-chegada-do-5g-entenda.ghtml#G1-TECNOLOGIA-FEED-user-sel-1,editorial,71fca2bd-05cf-4b98-a7df-b2657ddf11b8
4;Sinal do 5G será liberado em mais quatro capitais a partir de segunda-feira, diz Anatel;Com a decisão, serão 12 capitais do país a contar com a tecnologia no início da próxima semana. Previsão para as 15 capitais restantes terem o 5G vai até em novembro.;https://g1.globo.com/tecnologia/noticia/2022/08/18/sinal-do-5g-sera-liberado-em-mais-quatro-capitais-a-partir-de-segunda-feira-diz-anatel.ghtml#G1-TECNOLOGIA-FEED-user-sel-1,editorial,71fca2bd-05cf-4b98-a7df-b2657ddf11b8
5;Privacidade: 77% dos brasileiros já desinstalaram apps por preocupação com dados pessoais, diz pesquisa;Pesquisa do Cetic mostrou que questão está no radar da maioria dos usuários da internet durante o uso e gerenciamento de informações em aplicativos, sites e buscadores. ;https://g1.globo.com/tecnologia/noticia/2022/08/18/brasileiros-apps-dados-pessoais-redes-sociais.ghtml#G1-TECNOLOGIA-FEED-user-sel-1,editorial,71fca2bd-05cf-4b98-a7df-b2657ddf11b8
6;Google vai incluir anúncios de candidatos estaduais em relatório de transparência de propagandas políticas;Relatório de Transparência de Anúncios Políticos mostra quais anúncios foram divulgados por meio do Google Ads e Display & Video 360. Atualmente, o documento inclui anúncios que mencionam partidos políticos, candidatos e eleitos a cargos de nível federal no Brasil.;https://g1.globo.com/tecnologia/noticia/2022/08/18/google-vai-incluir-anuncios-de-candidatos-estaduais-em-relatorio-de-transparencia-de-propagandas-politicas.ghtml#G1-TECNOLOGIA-FEED-user-sel-1,editorial,71fca2bd-05cf-4b98-a7df-b2657ddf11b8
7;Do 5g à cultura chinesa: Huawei abre curso de tecnologia da informação e comunicação online e gratuito;Participantes do programa Seeds for the Future irão concorrer a uma viagem para visitar a Huawei em São Paulo, com todas as despesas de transporte e alojamento pagas. Inscrições vão até o dia 21 de agosto.;https://g1.globo.com/tecnologia/noticia/2022/08/18/do-5g-a-cultura-chinesa-huawei-abre-curso-de-tecnologia-da-informacao-e-comunicacao-online-e-gratuito.ghtml#G1-TECNOLOGIA-FEED-user-sel-1,editorial,71fca2bd-05cf-4b98-a7df-b2657ddf11b8
8;iFood faz acordo com SSP para que entregador da plataforma seja identificado e liberado mais rápido em blitz;"Empresa afirma que criou solução tecnológica que integra cadastro de entregadores da plataforma com o sistema público para que policiais consigam confirmar a identidade. Acordo já está ativo em São Paulo; capital viveu onda de crimes com falsos entregadores entre abril e maio.";https://g1.globo.com/sp/sao-paulo/noticia/2022/08/17/ifood-faz-acordo-com-ssp-para-que-entregador-da-plataforma-seja-identificado-e-liberado-mais-rapido-em-blitz.ghtml#G1-TECNOLOGIA-FEED-user-sel-1,editorial,71fca2bd-05cf-4b98-a7df-b2657ddf11b8
9;Conheça o Overture, projeto de avião supersônico que terá o dobro da velocidade das aeronaves atuais;Modelo está sendo desenvolvido pela startup americana Boom Supersonic e reduzirá pela metade o tempo de viagens em relação aos modelos comerciais mais rápidos em operação. O primeiro voo está previso para ocorrer apenas em 2026, mas já há 130 encomendas de companhias aéreas.;https://g1.globo.com/inovacao/noticia/2022/08/17/conheca-o-overture-projeto-de-aviao-supersonico-que-tera-o-dobro-da-velocidade-das-aeronaves-atuais.ghtml#G1-TECNOLOGIA-FEED-user-sel-1,editorial,71fca2bd-05cf-4b98-a7df-b2657ddf11b8
